Year,Name,Nameco,lg,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
2017,Jose Altuve,altuvjo01,AL,HOU,405,27,96%,8.3,153,590,112,204,24,81,32,58,0.346,0.41,0.547,0.957
2017,Aaron Judge,judgeaa01,AL,NYY,279,2,66%,8.1,155,542,128,154,52,114,9,127,0.284,0.422,0.627,1.049
2017,Jose Ramirez,ramirjo01,AL,CLE,237,1,56%,6.9,152,585,107,186,29,83,17,52,0.318,0.374,0.583,0.957
2017,Mike Trout,troutmi01,AL,LAA,197,0,47%,6.7,114,402,92,123,33,72,22,94,0.306,0.442,0.629,1.071
2017,Francisco Lindor,lindofr01,AL,CLE,143,0,34%,5.5,159,651,99,178,33,89,15,60,0.273,0.337,0.505,0.842
2017,Mookie Betts,bettsmo01,AL,BOS,110,0,26%,6.4,153,628,101,166,24,102,26,77,0.264,0.344,0.459,0.803
2017,Andrelton Simmons,simmoan01,AL,LAA,60,0,14%,7.1,158,589,77,164,14,69,19,47,0.278,0.331,0.421,0.752
2017,Nelson Cruz,cruzne02,AL,SEA,44,0,10%,4.1,155,556,91,160,39,119,1,70,0.288,0.375,0.549,0.924
2017,Brian Dozier,doziebr01,AL,MIN,25,0,6%,4.5,152,617,106,167,34,93,16,78,0.271,0.359,0.498,0.856
2017,Jonathan Schoop,schoojo01,AL,BAL,19,0,5%,5.2,160,622,92,182,32,105,1,35,0.293,0.338,0.503,0.841
2017,George Springer,springe01,AL,HOU,17,0,4%,5,140,548,112,155,34,85,5,64,0.283,0.367,0.522,0.889
2017,Jose Abreu,abreujo02,AL,CHW,16,0,4%,4.7,156,621,95,189,33,102,3,35,0.304,0.354,0.552,0.906
2017,Eric Hosmer,hosmeer01,AL,KCR,16,0,4%,4.1,162,603,98,192,25,94,6,66,0.318,0.385,0.498,0.882
2017,Justin Upton,uptonju01,AL,TOT,12,0,3%,5.7,152,557,100,152,35,109,14,74,0.273,0.361,0.54,0.901
2017,Carlos Correa,correca01,AL,HOU,9,0,2%,6.3,109,422,82,133,24,84,2,53,0.315,0.391,0.55,0.941
2017,Byron Buxton,buxtoby01,AL,MIN,7,0,2%,5.2,140,462,69,117,16,51,29,38,0.253,0.314,0.413,0.728
2017,Marwin Gonzalez,gonzama01,AL,HOU,6,0,1%,4.3,134,455,67,138,23,90,8,49,0.303,0.377,0.53,0.907
2017,Edwin Encarnacion,encared01,AL,CLE,4,0,1%,2.8,157,554,96,143,38,107,2,104,0.258,0.377,0.504,0.881
2017,Didi Gregorius,gregodi01,AL,NYY,4,0,1%,3.7,136,534,73,153,25,87,3,25,0.287,0.318,0.478,0.796
2017,Khris Davis,daviskh01,AL,OAK,1,0,0%,2.6,153,566,91,140,43,110,4,73,0.247,0.336,0.528,0.864
2017,Josh Donaldson,donaljo02,AL,TOR,1,0,0%,4.8,113,415,65,112,33,78,2,76,0.27,0.385,0.559,0.944
2017,Gary Sanchez,sanchga02,AL,NYY,1,0,0%,4.1,122,471,79,131,33,90,2,40,0.278,0.345,0.531,0.876
2016,Mike Trout,troutmi01,AL,LAA,356,19,85%,10.5,159,549,123,173,29,100,30,116,0.315,0.441,0.55,0.991
2016,Mookie Betts,bettsmo01,AL,BOS,311,9,74%,9.7,158,672,122,214,31,113,26,49,0.318,0.363,0.534,0.897
