Year,Name,Nameco,lg,Tm,Vote Pts,1st Place,Share,WAR,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
2017,Corey Kluber,klubeco01,AL,CLE,101,0,24%,8.2,18,4,2.25,0.869,29,29,0,203.2,141,21,36,265
2017,Chris Sale,salech01,AL,BOS,56,0,13%,6.1,17,8,2.9,0.97,32,32,0,214.1,165,24,43,308
2016,Zach Britton,brittza01,AL,BAL,11,0,3%,4.2,2,1,0.54,0.836,69,0,47,67,38,1,18,74
2016,Chris Sale,salech01,AL,CHW,3,0,1%,5,17,10,3.34,1.037,32,32,0,226.2,190,27,45,233
2016,Justin Verlander,verlaju01,AL,DET,2,0,0%,7.2,16,9,3.04,1.001,34,34,0,227.2,171,30,57,254
2016,Corey Kluber,klubeco01,AL,CLE,1,0,0%,5.9,18,9,3.14,1.056,32,32,0,215,170,22,57,227
2015,Dallas Keuchel,keuchda01,AL,HOU,107,0,25%,6.7,20,8,2.48,1.017,33,33,0,232,185,17,51,216
2015,David Price,priceda01,AL,TOT,62,0,15%,6.1,18,5,2.45,1.076,32,32,0,220.1,190,17,47,225
2015,Chris Sale,salech01,AL,CHW,4,0,1%,3.4,13,11,3.41,1.088,31,31,0,208.2,185,23,42,274
2015,Wade Davis,daviswa01,AL,KCR,1,0,0%,3.5,8,1,0.94,0.787,69,0,17,67.1,33,3,20,78
2014,Felix Hernandez,hernafe02,AL,SEA,48,0,11%,6.3,15,6,2.14,0.915,34,34,0,236,170,16,46,248
2014,Corey Kluber,klubeco01,AL,CLE,45,0,11%,8.3,18,9,2.44,1.095,34,34,0,235.2,207,14,51,269
2014,Greg Holland,hollagr01,AL,KCR,13,0,3%,2.5,1,3,1.44,0.914,65,0,46,62.1,37,3,20,90
2014,James Shields,shielja02,AL,KCR,3,0,1%,3.6,14,8,3.21,1.181,34,34,0,227,224,23,44,180
2013,Max Scherzer,scherma01,AL,DET,25,0,6%,6.5,21,3,2.9,0.97,32,32,0,214.1,152,18,56,240
2013,Greg Holland,hollagr01,AL,KCR,3,0,1%,3.1,2,1,1.21,0.866,68,0,47,67,40,3,18,103
2013,Hisashi Iwakuma,iwakuhi01,AL,SEA,2,0,0%,7.2,14,6,2.66,1.006,33,33,0,219.2,179,25,42,185
2013,Koji Uehara,ueharko01,AL,BOS,2,0,0%,3.6,4,1,1.09,0.565,73,0,21,74.1,33,5,9,101
2013,Yu Darvish,darviyu01,AL,TEX,1,0,0%,5.5,13,9,2.83,1.073,32,32,0,209.2,145,26,80,277
2013,Felix Hernandez,hernafe02,AL,SEA,1,0,0%,5.3,12,10,3.04,1.131,31,31,0,204.1,185,15,46,216
2012,Justin Verlander,verlaju01,AL,DET,58,0,15%,8,17,8,2.64,1.057,33,33,0,238.1,192,19,60,239
2012,David Price,priceda01,AL,TBR,26,0,7%,6.6,20,5,2.56,1.1,31,31,0,211,173,16,59,205
2012,Fernando Rodney,rodnefe01,AL,TBR,24,0,6%,3.7,2,2,0.6,0.777,76,0,48,74.2,43,2,15,76
2012,Jim Johnson,johnsji04,AL,BAL,22,0,6%,2.4,2,1,2.49,1.019,71,0,51,68.2,55,3,15,41
2012,Rafael Soriano,soriara01,AL,NYY,5,0,1%,2.6,2,1,2.26,1.167,69,0,42,67.2,55,6,24,69
2012,Felix Hernandez,hernafe02,AL,SEA,2,0,1%,5.3,13,9,3.06,1.142,33,33,0,232,209,14,56,223
2012,Jered Weaver,weaveje02,AL,LAA,2,0,1%,4.4,20,5,2.81,1.018,30,30,0,188.2,147,20,45,142
2011,Justin Verlander,verlaju01,AL,DET,280,13,71%,8.6,24,5,2.4,0.92,34,34,0,251,174,24,57,250
2011,CC Sabathia,sabatc.01,AL,NYY,10,0,3%,6.4,19,8,3,1.226,33,33,0,237.1,230,17,61,230
2011,James Shields,shielja02,AL,TBR,7,0,2%,5.8,16,12,2.82,1.043,33,33,0,249.1,195,26,65,225
2011,David Robertson,roberda08,AL,NYY,1,0,0%,3.7,4,0,1.08,1.125,70,0,1,66.2,40,1,35,100
2010,Rafael Soriano,soriara01,AL,TBR,21,0,5%,2.1,3,2,1.73,0.802,64,0,45,62.1,36,4,14,57
2010,CC Sabathia,sabatc.01,AL,NYY,13,0,3%,4.8,21,7,3.18,1.191,34,34,0,237.2,209,20,74,197
2010,Felix Hernandez,hernafe02,AL,SEA,6,0,2%,7.1,13,12,2.27,1.057,34,34,0,249.2,194,17,70,232
2010,Joakim Soria,soriajo01,AL,KCR,1,0,0%,3.7,1,2,1.78,1.051,66,0,43,65.2,53,4,16,71
2009,Mariano Rivera,riverma01,AL,NYY,17,0,4%,3.6,3,3,1.76,0.905,66,0,44,66.1,48,7,12,72
2009,Zack Greinke,greinza01,AL,KCR,12,0,3%,10.4,16,8,2.16,1.073,33,33,0,229.1,195,11,51,242
2009,Justin Verlander,verlaju01,AL,DET,7,0,2%,5.4,19,9,3.45,1.175,35,35,0,240,219,20,63,269
2009,CC Sabathia,sabatc.01,AL,NYY,4,0,1%,6.2,19,8,3.37,1.148,34,34,0,230,197,18,67,197
2009,Felix Hernandez,hernafe02,AL,SEA,1,0,0%,5.9,19,5,2.49,1.135,34,34,0,238.2,200,15,71,217
2008,Francisco Rodriguez,rodrifr03,AL,LAA,143,1,36%,2.5,2,3,2.24,1.288,76,0,62,68.1,54,4,34,77
2008,Cliff Lee,leecl02,AL,CLE,24,0,6%,6.7,22,3,2.54,1.11,31,31,0,223.1,214,12,34,170
2008,Mike Mussina,mussimi01,AL,NYY,3,0,1%,5.1,20,9,3.37,1.223,34,34,0,200.1,214,17,31,150
2007,J.J. Putz,putzjj01,AL,SEA,12,0,3%,4,6,1,1.38,0.698,68,0,40,71.2,37,6,13,82
2007,CC Sabathia,sabatc.01,AL,CLE,11,0,3%,6.4,19,7,3.21,1.141,34,34,0,241,238,20,37,209
2007,John Lackey,lackejo01,AL,LAA,4,0,1%,6.2,19,9,3.01,1.21,33,33,0,224,219,18,52,179
2007,Josh Beckett,beckejo02,AL,BOS,2,0,1%,6.5,20,7,3.27,1.141,30,30,0,200.2,189,17,40,194
2007,Roberto Hernandez,carmofa01,AL,CLE,1,0,0%,6.2,19,8,3.06,1.209,32,32,0,215,199,16,61,137
2006,Johan Santana,santajo02,AL,MIN,114,1,29%,7.6,19,6,2.77,0.997,34,34,0,233.2,186,24,47,245
2006,Justin Verlander,verlaju01,AL,DET,7,0,2%,4,17,9,3.63,1.328,30,30,0,186,187,21,60,124
2006,Joe Nathan,nathajo01,AL,MIN,6,0,2%,3.3,7,0,1.58,0.79,64,0,36,68.1,38,3,16,95
2006,Mariano Rivera,riverma01,AL,NYY,2,0,1%,3.9,5,5,1.8,0.96,63,0,34,75,61,3,11,55
2006,Kenny Rogers,rogerke01,AL,DET,2,0,1%,3.2,17,8,3.84,1.26,34,33,0,204,195,23,62,99
2006,Chien-Ming Wang,wangch01,AL,NYY,2,0,1%,6,19,6,3.63,1.307,34,33,1,218,233,12,52,76
2005,Mariano Rivera,riverma01,AL,NYY,59,0,15%,4,7,4,1.38,0.868,71,0,43,78.1,50,2,18,80
2005,Bartolo Colon,colonba01,AL,LAA,3,0,1%,4,21,8,3.48,1.159,33,33,0,222.2,215,26,43,157
2005,Huston Street,streehu01,AL,OAK,3,0,1%,2.9,5,1,1.72,1.009,67,0,23,78.1,53,3,26,72
2005,Bob Wickman,wickmbo01,AL,CLE,2,0,1%,1.9,0,4,2.47,1.258,64,0,45,62,57,9,21,41
2005,Jose Contreras,contrjo01,AL,CHW,1,0,0%,3.6,15,7,3.61,1.231,32,32,0,204.2,177,23,75,154
2004,Johan Santana,santajo02,AL,MIN,117,0,30%,8.8,20,6,2.61,0.921,34,34,0,228,156,24,54,265
2004,Mariano Rivera,riverma01,AL,NYY,61,0,16%,4.2,4,2,1.94,1.081,74,0,53,78.2,65,3,20,66
2004,Curt Schilling,schilcu01,AL,BOS,14,0,4%,7.7,21,6,3.26,1.063,32,32,0,226.2,206,23,35,203
2004,Joe Nathan,nathajo01,AL,MIN,12,0,3%,3.9,1,2,1.62,0.982,73,0,44,72.1,48,3,23,89
2004,Francisco Cordero,cordefr01,AL,TEX,2,0,1%,3.6,3,4,2.13,1.284,67,0,49,71.2,60,1,32,79
2003,Keith Foulke,foulkke01,AL,OAK,20,0,5%,3.5,9,1,2.08,0.888,72,0,43,86.2,57,10,20,88
2003,Pedro Martinez,martipe02,AL,BOS,7,0,2%,8,14,4,2.22,1.039,29,29,0,186.2,147,7,47,206
2003,Esteban Loaiza,loaizes01,AL,CHW,4,0,1%,7.2,21,9,2.9,1.113,34,34,0,226.1,196,17,56,207
2003,Mariano Rivera,riverma01,AL,NYY,3,0,1%,3.6,5,2,1.66,1.005,64,0,40,70.2,61,3,10,63
2002,Barry Zito,zitoba01,AL,OAK,22,0,6%,7.1,23,5,2.75,1.134,35,35,0,229.1,182,24,78,182
