name,aincome,period,tWAR,WAR,age,Pscore,G,PA,AB,R,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+
양의지,6,4,35.4,6.42,31,1,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.013,0.431,160.5
모창민,1.85,4,8.33,0.95,33,0.2,81,314,287,38,80,10,1,17,143,62,2,3,21,2,0,51,10,0,4,0.279,0.328,0.498,0.826,0.351,101.4
최정,21.5,4,60.07,3.52,31,0.2,115,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,0,2,0.244,0.368,0.547,0.915,0.385,120.3
이재원,3.5,4,16.85,4.21,30,1,130,471,407,63,134,24,0,17,209,57,0,0,43,12,0,65,13,4,5,0.329,0.405,0.514,0.918,0.397,130.6
송광민,2.4,4,13.58,1.58,35,0.2,113,460,434,63,129,24,0,18,207,79,4,4,18,4,0,93,13,0,4,0.297,0.328,0.477,0.805,0.346,96.4
이용규,4,4,41.72,1.84,33,0.2,134,575,491,82,144,14,1,1,163,36,30,11,59,12,0,62,8,8,5,0.293,0.379,0.332,0.711,0.331,88.6
최진행,1.9,4,16.93,-0.39,33,-0.6,57,154,136,14,29,3,0,7,53,13,0,1,15,3,0,53,5,0,0,0.213,0.305,0.39,0.695,0.307,69.2
김민성,3.5,4,18.41,1.75,30,0.2,128,465,413,46,117,24,0,10,171,45,1,0,40,6,3,80,6,1,5,0.283,0.351,0.414,0.765,0.338,93.4
김상수,2.4,4,18.14,0.44,28,0.6,122,499,453,63,119,13,1,10,164,50,12,9,27,8,0,91,11,8,3,0.263,0.314,0.362,0.676,0.299,67.1
박용택,12.5,4,57.46,1.38,39,-1.4,134,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,0.303,0.362,0.466,0.828,0.362,112.7
박경수,4.55,4,23.82,2.51,34,0.2,135,528,458,65,120,21,0,25,216,74,4,1,58,9,2,129,16,0,3,0.262,0.354,0.472,0.826,0.357,104
