aincome,tWAR,WAR,age,Pscore,G,PA,AB,R,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+
3.333333333,0.62,0.06,34,0.6,110,337,304,38,82,15,2,6,119,42,2,1,10,2,1,42,10,18,3,0.27,0.295,0.391,0.686,0.286,58
20,46.88,3.49,32,1,130,515,456,62,130,22,1,22,220,68,0,2,41,15,6,104,15,0,3,0.285,0.361,0.482,0.844,0.367,110.7
24.5,39.29,5.72,29,-0.6,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,0.335,0.42,0.514,0.934,0.41,140.1
20,19.27,3.37,30,-0.6,123,520,447,73,136,21,0,14,199,71,3,4,47,19,2,74,14,1,6,0.304,0.389,0.445,0.834,0.374,123.1
7.25,9.57,1.42,31,-1.4,112,381,349,44,112,16,0,15,173,45,0,1,19,9,0,61,11,0,4,0.321,0.368,0.496,0.863,0.379,120.6
7.5,24.5,2.55,37,0.6,124,391,349,32,122,17,1,5,156,45,1,0,16,8,1,44,5,13,5,0.35,0.386,0.447,0.833,0.362,111
5,33.98,1.55,37,0.2,107,355,318,52,98,15,0,5,128,34,9,2,28,5,0,30,5,2,2,0.308,0.371,0.403,0.774,0.352,103.2
3,1.66,0.38,33,0.6,121,304,268,29,64,16,0,6,98,24,1,0,22,10,0,67,8,2,2,0.239,0.318,0.366,0.684,0.309,75.3
5,15.85,1.92,35,-1,109,384,342,46,110,23,1,12,171,62,0,1,34,5,2,94,9,0,3,0.322,0.388,0.5,0.888,0.39,128.4
9,28.71,2.3,36,-1,122,478,440,78,136,39,2,12,215,70,9,2,31,4,0,59,17,2,1,0.309,0.359,0.489,0.848,0.372,115.4
11.66666667,48.2,3.09,35,0.2,105,442,391,73,129,22,0,11,184,46,6,6,32,10,3,48,12,5,3,0.33,0.392,0.471,0.863,0.379,120.4
2,16.1,-0.1,34,-0.6,100,366,337,51,90,8,3,0,104,24,23,4,24,0,1,54,8,4,1,0.267,0.315,0.309,0.624,0.287,58.1
0.55,20.96,0.8,34,-1.4,125,464,409,43,119,15,0,14,176,82,0,0,49,1,0,89,24,0,5,0.291,0.364,0.43,0.795,0.356,104.5
12.5,11.56,3.24,31,0.6,137,496,416,69,129,27,3,7,183,78,8,4,57,5,1,52,8,5,13,0.31,0.389,0.44,0.829,0.374,110.5
10,22.09,3.94,31,-1.4,118,486,380,84,117,21,2,25,217,90,6,3,85,17,1,90,8,0,4,0.308,0.451,0.571,1.022,0.45,158
6.75,10.44,0.36,30,0.2,7,22,19,3,6,3,0,2,15,7,0,0,2,0,0,2,1,0,1,0.316,0.364,0.789,1.153,0.457,179.3
25,44,7.75,33,-0.6,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,0.376,0.464,0.651,1.116,0.48,177.8
2.25,4.55,1.18,34,-1,109,207,179,29,60,14,0,5,89,35,3,3,21,3,1,43,2,1,3,0.335,0.408,0.497,0.905,0.404,131.7
7,50.28,1.37,36,-1,126,418,370,58,119,22,1,6,161,64,8,4,33,5,1,59,9,5,5,0.322,0.38,0.435,0.815,0.369,107.7
7.5,41.36,1.66,36,-1.4,115,424,371,49,123,23,1,10,178,72,2,5,45,3,1,44,13,0,5,0.332,0.403,0.48,0.883,0.4,125.2
9,47.67,3.34,34,0.2,138,514,437,60,118,25,0,28,227,79,3,4,57,16,1,91,16,0,4,0.27,0.372,0.519,0.891,0.389,125.2
8.75,38.62,2.46,35,0.2,105,401,347,61,113,16,1,10,161,44,11,6,44,3,4,53,8,3,4,0.326,0.402,0.464,0.866,0.386,122.6
18,68.28,3.14,39,-1.4,122,522,470,87,156,28,1,26,264,90,2,1,40,6,2,71,10,0,6,0.332,0.387,0.562,0.949,0.412,140.4
4.25,18.81,1.85,35,-1,134,539,475,71,133,20,0,27,234,88,4,5,50,8,4,115,21,0,6,0.28,0.354,0.493,0.847,0.369,113.2
21,59.2,4.17,33,-1,133,524,408,61,129,28,0,21,220,104,3,1,98,12,12,80,19,1,5,0.316,0.457,0.539,0.996,0.436,153.7
5,29.36,0.05,40,1,106,310,276,33,64,11,0,11,108,44,0,0,16,6,0,89,5,11,1,0.232,0.288,0.391,0.679,0.293,58.8
7.5,16.65,1.79,34,-1,124,494,438,66,123,23,0,21,209,70,3,3,46,4,1,119,9,4,2,0.281,0.353,0.477,0.83,0.364,113
9.5,14.8,2.08,30,0.2,120,474,411,60,115,20,2,11,172,59,31,8,47,4,1,94,9,7,4,0.28,0.356,0.418,0.775,0.345,102.6
2.5,16.02,0.68,31,-1,41,77,67,13,22,1,0,3,32,11,4,2,6,3,0,22,4,0,1,0.328,0.403,0.478,0.88,0.397,138.8
8,11.63,1.51,33,1,113,324,279,34,71,11,1,12,120,49,1,2,22,15,0,80,2,8,0,0.254,0.342,0.43,0.772,0.34,97.1
15,15.79,5.87,34,-0.6,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,0.362,0.431,0.579,1.009,0.44,157.6
24,41.42,5.38,30,0.2,135,559,448,90,144,25,0,26,247,116,3,0,83,19,0,97,13,1,8,0.321,0.441,0.551,0.992,0.437,156.8
12.5,45.57,4.49,35,0.2,124,549,464,71,159,24,2,9,214,73,11,9,75,1,3,65,15,2,7,0.343,0.43,0.461,0.891,0.405,136.1
21.5,40.93,3.32,27,0.2,82,361,308,65,94,20,0,14,156,76,7,2,37,12,0,69,9,1,3,0.305,0.397,0.506,0.904,0.401,131.4
7,15.82,0.26,31,0.2,31,87,74,8,20,4,0,1,27,6,5,2,10,1,0,21,5,1,1,0.27,0.361,0.365,0.725,0.336,84
14,19.47,4.05,32,0.2,113,483,430,86,130,29,3,16,213,82,32,5,43,4,0,91,12,2,4,0.302,0.368,0.495,0.863,0.38,117.3
2.833333333,7.82,1.69,32,-0.6,89,355,300,43,94,16,3,8,140,52,1,3,40,4,0,42,8,7,4,0.313,0.397,0.467,0.863,0.382,110.4
5.5,1.11,0.15,33,-0.6,125,522,443,74,116,12,5,2,144,52,37,7,43,4,1,72,8,28,4,0.262,0.33,0.325,0.655,0.292,59.2
2.25,7.3,-0.54,33,1,94,224,185,17,35,6,0,2,47,18,0,2,24,2,0,28,7,11,2,0.189,0.286,0.254,0.54,0.251,29.6
